question_id,kla,session,question_number,question_type,date,ministry,title_mal,mla_names,question_body_mal,answer_pdf_url,source_url,mla_name_eng,mla_party_eng,mla_constituency_eng,mla_party_mal,mla_constituency_mal
15-3-301,15,3,301,starred,2021-10-27,starred,സപ്ലൈകോയുടെ പ്രവര്‍ത്തനം,ശ്രീ ഇ ചന്ദ്രശേഖരന്‍ | ശ്രീ വി ശശി ശ്രീ. ഇ കെ വിജയൻ ശ്രീ. പി. ബാലചന്ദ്രൻ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു ഭക്ഷ്യ-പൊതുവിതരണ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സംസ്ഥാനത്ത് അവശ്യ നിത്യോപയോഗ സാധനങ്ങള്‍ കുറഞ്ഞ വിലയില്‍ ജനങ്ങള്‍ക്ക് ലഭ്യമാക്കുന്നതിന് സപ്ലൈകോയുടെ പ്രവര്‍ത്തനം എത്രത്തോളം സഹായകമാണെന്ന് വിലയിരുത്തിയിട്ടുണ്ടോ; വിശദമാക്കാമോ; ( ബി ) കാര്യക്ഷമമായ പര്‍ച്ചേയ്സ് സംവിധാനത്തിലൂടെ സപ്ലൈകോ ഔട്ട്‍ലെറ്റുകളില്‍ നിത്യോപയോഗ സാധനങ്ങളുടെ ലഭ്യത ഉറപ്പുവരുത്താന്‍ എന്തെല്ലാം നടപടികളാണ് സ്വീകരിച്ചിട്ടുള്ളതെന്ന് വ്യക്തമാക്കാമോ; ( സി ) മാവേലി സ്റ്റോറുകള്‍ മാവേലി സൂപ്പര്‍ സ്റ്റോറാക്കി മാറ്റുന്നതിന് നടപടി സ്വീകരിച്ചിട്ടുണ്ടോ; ( ഡി ) സപ്ലൈകോ സൂപ്പർ മാർക്കറ്റുകളിൽ ഗാർഹിക ഉപകരണങ്ങളും വിപണനം ചെയ്യുന്ന കാര്യം പരിഗണിക്കുമോ; വിശദമാക്കാമോ; ( ഇ ) സപ്ലൈകോ വാതിൽപ്പടി സേവനം ആരംഭിക്കുവാൻ ഉദ്ദേശിക്കുന്നുണ്ടോ; വിശദമാക്കാമോ? മാലിന്യ സംസ്കരണവും പുനരുപയോഗവും,,http://www.niyamasabha.org/codes/15kla/Session_3/ans/s00301-271021-03-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_3/qns/html/s_271021(301-330)%20.htm,,,,,
15-3-302,15,3,302,starred,2021-10-27,starred,മാലിന്യ സംസ്കരണവും പുനരുപയോഗവും,"ശ്രീ.മുഹമ്മദ് മുഹസിൻ | ശ്രീ ജി എസ് ജയലാൽ | ശ്രീമതി സി. കെ. ആശ ശ്രീ. സി.സി. മുകുന്ദൻ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു തദ്ദേശ സ്വയംഭരണ, ഗ്രാമവികസനം, എക്സൈസ്‌ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) ലോകബാങ്ക് ഉള്‍പ്പെടെയുള്ള അന്താരാഷ്ട്ര ധനകാര്യ ഏജന്‍സികളുടെ സഹായത്തോടെ തദ്ദേശ സ്വയംഭരണ സ്ഥാപനങ്ങളില്‍ ശാസ്ത്രീയ മാലിന്യ നിര്‍മ്മാര്‍ജ്ജന പദ്ധതി നടപ്പിലാക്കാന്‍ ഉദ്ദേശിക്കുന്നുണ്ടോ; വിശദമാക്കാമോ; ( ബി ) മാലിന്യ സംസ്കരണ പ്രവർത്തനങ്ങൾ കാര്യക്ഷമമാക്കുന്നതിനായി മാലിന്യ വസ്തുക്കളുടെ പുന:രുപയോഗത്തിനുള്ള നടപടികളും സാങ്കേതികവിദ്യയും പ്രോത്സാഹിപ്പിക്കേണ്ടതിന്റെ ആവശ്യകത ശ്രദ്ധയിൽപ്പെട്ടിട്ടുണ്ടോ; വിശദമാക്കാമോ; ( സി ) തെരഞ്ഞെടുപ്പ് പ്രചരണത്തിന് ഉപയോഗിച്ച വസ്തുക്കൾ പുനരുപയോഗിച്ച് ഉല്പന്നങ്ങൾ നിര്‍മ്മിക്കുന്ന മാതൃക പദ്ധതി ധർമ്മടം മണ്ഡലത്തിൽ നടപ്പിലാക്കിയിരുന്നോ; വിശദമാക്കാമോ; ( ഡി ) മാലിന്യ സംസ്കരണത്തിനും മാലിന്യങ്ങളുടെ പുനരുപയോഗത്തിനുമായി നവീന സാങ്കേതികവിദ്യാധിഷ്ഠിത പരിപാടികൾ ശുചിത്വ മിഷൻ വഴി നടപ്പിലാക്കുന്നതിന് നടപടികൾ സ്വീകരിച്ചിട്ടുണ്ടോ; വിശദമാക്കാമോ; ( ഇ ) മാലിന്യ സംസ്കരണത്തിനും ശുചിത്വ പരിപാലനത്തിനും തദ്ദേശ സ്വയംഭരണ സ്ഥാപനങ്ങൾക്ക് സാങ്കേതിക വിദ്യയും സാങ്കേതിക സഹായവും ലഭ്യമാക്കുന്നതിന് ഹരിത കേരള മിഷൻ എന്തെല്ലാം നടപടികളാണ് സ്വീകരിച്ചിട്ടുള്ളതെന്ന് വ്യക്തമാക്കാമോ? പൊതുജന പരാതി പരിഹാര സംവിധാനം",,http://www.niyamasabha.org/codes/15kla/Session_3/ans/s00302-271021-03-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_3/qns/html/s_271021(301-330)%20.htm,,,,,
15-3-303,15,3,303,starred,2021-10-27,starred,പൊതുജന പരാതി പരിഹാര സംവിധാനം,ശ്രീ. കെ. പ്രേംകുമാര്‍ | ശ്രീ ഡി കെ മുരളി | ശ്രീ ഒ.ആർ. കേളു | ശ്രീമതി കാനത്തില്‍ ജമീല : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു മുഖ്യമന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സംസ്ഥാനത്ത് സര്‍ക്കാര്‍ സേവനങ്ങള്‍ യഥാസമയം ജനങ്ങളിലേക്കെത്തിക്കുന്നതിന് സ്വീകരിച്ചിട്ടുള്ള നടപടികള്‍ വിശദമാക്കാമോ; ( ബി ) മുഖ്യമന്ത്രിയുടെ പരാതി പരിഹാര സെല്ലില്‍ സമര്‍പ്പിക്കുന്ന പരാതികള്‍ പതിനഞ്ച് ദിവസത്തിനകം തീര്‍പ്പാക്കുമെന്ന പ്രഖ്യാപനം പ്രാവര്‍ത്തികമാക്കാന്‍ നടപടിയെടുത്തിട്ടുണ്ടോ; എല്ലാ ഓഫീസിലും പൊതുജന പരാതി പരിഹാരത്തിനായി സംവിധാനം ഏര്‍പ്പെടുത്താന്‍ ഉദ്ദേശിക്കുന്നുണ്ടോ; ( സി ) മുഖ്യമന്ത്രിയുടെ ദുരിതാശ്വാസ നിധിയില്‍ നിന്ന് സഹായം തേടുന്നവര്‍ക്ക് അത് അടിയന്തരമായി ലഭ്യമാക്കാന്‍ വേണ്ട ക്രമീകരണം ഏര്‍പ്പെടുത്തിയിട്ടുണ്ടോ? പരിസ്ഥിതി സംരക്ഷണ പദ്ധതികള്‍,,http://www.niyamasabha.org/codes/15kla/Session_3/ans/s00303-271021-03-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_3/qns/html/s_271021(301-330)%20.htm,,,,,
15-3-304,15,3,304,starred,2021-10-27,starred,പരിസ്ഥിതി സംരക്ഷണ പദ്ധതികള്‍,ശ്രീ മാത്യു ടി. തോമസ് | ശ്രീ കെ ബി ഗണേഷ് കുമാർ | ശ്രീ കോവൂർ കുഞ്ഞുമോൻ ശ്രീ. കെ.പി.മോഹനന്‍ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു മുഖ്യമന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സംസ്ഥാനത്ത് പരിസ്ഥിതി സംരക്ഷണത്തിനായി നടപ്പിലാക്കുന്ന പ്രധാന പദ്ധതികള്‍ എന്തൊക്കെയാണെന്ന് വിശദമാക്കുമോ; ( ബി ) നാശോന്മുഖമായിക്കൊണ്ടിരിക്കുന്ന നദികളും തോടുകളും കുളങ്ങളും ശുചീകരിക്കുന്നതിനും അവയുടെ ആഴം വര്‍ദ്ധിപ്പിച്ച് സംരക്ഷിക്കുന്നതിനും പരിസ്ഥിതി വകുപ്പിന് പ്രത്യേക പദ്ധതികളുണ്ടോ; എങ്കില്‍ വിശദാംശങ്ങള്‍ അറിയിക്കുമോ; ( സി ) നഗര പ്രദേശങ്ങളിലെ മാലിന്യം നിറഞ്ഞ കനാലുകള്‍ ശുചീകരിച്ചും സ്വതന്ത്രമായ നീരൊഴുക്ക് ഉറപ്പുവരുത്തിയും നടപ്പിലാക്കുന്ന പരിസ്ഥിതി സംരക്ഷണ പ്രവര്‍ത്തനങ്ങള്‍ വിശദമാക്കുമോ? കോവിഡ് മരണങ്ങളുടെ കണക്ക്,,http://www.niyamasabha.org/codes/15kla/Session_3/ans/s00304-271021-03-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_3/qns/html/s_271021(301-330)%20.htm,Mathew T Thomas,Indian Socialist Janata Dal,Thiruvalla,ഇന്ത്യൻ സോഷ്യലിസ്റ്റ് ജനതാദൾ,തിരുവല്ല
15-3-305,15,3,305,starred,2021-10-27,starred,കോവിഡ് മരണങ്ങളുടെ കണക്ക്,ശ്രീ എം വിൻസെൻറ് ശ്രീ. ടി.സിദ്ദിഖ് ശ്രീ. എൽദോസ് പി. കുന്നപ്പിള്ളിൽ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു ആരോഗ്യ- വനിത-ശിശുവികസന വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) 2021 ജൂൺ 16-ന് മുൻപുള്ള കോവിഡ് മരണങ്ങളുടെ കണക്കിലെ അപാകത സംബന്ധിച്ച ആക്ഷേപം പരിഹരിക്കാൻ സ്വീകരിച്ച നടപടികൾ വ്യക്തമാക്കാമോ; ( ബി ) ജൂൺ മാസത്തിൽ പ്രസ്തുത വിഷയത്തിൽ ആക്ഷേപം ഉയർന്നതിനെ തുടർന്ന് അണ്‍ഡിക്ലയേര്‍ഡ് കോവിഡ് ഡെത്ത്- ന്റെ കണക്കുകൾ അതതു ജില്ല മെഡിക്കല്‍ ഓഫീസര്‍മാര്‍ ആരോഗ്യ വകുപ്പ് ഡയറക്ടര്‍ക്ക് നൽകിയിരുന്നോ; വിശദാംശം ലഭ്യമാക്കാമോ; ( സി ) ഓരോ ജില്ലയിലെയും ജില്ല മെഡിക്കല്‍ ഓഫീസര്‍മാര്‍ നൽകിയ അണ്‍ഡിക്ലയേര്‍ഡ് കോവിഡ് ഡെത്ത്- ന്റെ കണക്കുകൾ ഔദ്യോഗികമായി പ്രസിദ്ധീകരിച്ചിട്ടുണ്ടോ; ഇല്ലെങ്കില്‍ കാരണം വിശദമാക്കാമോ? സില്‍വര്‍ലൈന്‍ പദ്ധതി,,http://www.niyamasabha.org/codes/15kla/Session_3/ans/s00305-271021-03-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_3/qns/html/s_271021(301-330)%20.htm,,,,,
15-3-306,15,3,306,starred,2021-10-27,starred,സില്‍വര്‍ലൈന്‍ പദ്ധതി,"ശ്രീ. എ.പി.അനിൽ കുമാർ ശ്രീ. ടി. ജെ. വിനോദ് ശ്രീ. അൻവർ സാദത്ത് | ശ്രീ . സണ്ണി ജോസഫ് : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു മുഖ്യമന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സില്‍വര്‍ലൈന്‍ പദ്ധതിയുടെ യഥാർത്ഥ തുക സംബന്ധിച്ച് നിതി ആയോഗ് നടത്തിയ വിലയിരുത്തൽ ശ്രദ്ധയിൽപ്പെട്ടിട്ടുണ്ടോ; വ്യക്തമാക്കാമോ; ( ബി ) പദ്ധതിയുടെ യഥാർത്ഥ തുക സർക്കാരിന്റെ എസ്റ്റിമേറ്റ് തുകയുടെ ഇരട്ടിയോളം ആകുമെന്ന കണ്ടെത്തൽ ഗൗരവത്തോടെ കാണുന്നുണ്ടോ; വ്യക്തമാക്കുമോ; ( സി ) എസ്റ്റിമേറ്റ് തുകയിൽനിന്ന് യഥാർത്ഥ തുക കൂടുതലായാൽ അധിക തുക എങ്ങനെ കണ്ടെത്തുമെന്നത് വിശദമാക്കാമോ; ( ഡി ) കെ-റെയിൽ പദ്ധതിയുടെ ആക്സിൽ ലോഡ് പതിനേഴ് ടൺ ആയതിനാൽ ചരക്ക് ട്രെയിനുകൾ ഓടിക്കാൻ സാധിക്കില്ലെന്നും ഹൈബ്രിഡ് മോഡൽ നടപ്പിലാക്കി സാമ്പത്തിക ലാഭം നേടാൻ സാധിക്കില്ല എന്നും കണ്ടെത്തിയിട്ടുണ്ടോ; എങ്കില്‍ വ്യക്തമാക്കുമോ; ( ഇ ) ചരക്ക് ട്രെയിനുകൾ കൂടി ഓടിക്കുന്നതിന് സ്വീകരിക്കാന്‍ ഉദ്ദേശിക്കുന്ന നടപടികള്‍ എന്തൊക്കെയെന്ന് വ്യക്തമാക്കാമോ? ആയുര്‍വേദ, അലോപ്പതി മരുന്നുകളുടെ ഉല്പാദനം",,http://www.niyamasabha.org/codes/15kla/Session_3/ans/s00306-271021-03-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_3/qns/html/s_271021(301-330)%20.htm,,,,,
15-3-307,15,3,307,starred,2021-10-27,starred,"ആയുര്‍വേദ, അലോപ്പതി മരുന്നുകളുടെ ഉല്പാദനം","ശ്രീ. കെ.പി.മോഹനന്‍ | ശ്രീ തോമസ് കെ തോമസ് ശ്രീ. രാമചന്ദ്രൻ കടന്നപ്പള്ളി : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു ആരോഗ്യ- വനിത-ശിശുവികസന വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സംസ്ഥാനത്ത് ആയുര്‍വേദ, അലോപ്പതി മരുന്നുകളുടെ ഉല്പാദനത്തിന് സിറം ഇന്‍സ്റ്റിറ്റ്യൂട്ടിന്റെ മാതൃകയില്‍ സംവിധാനം ഒരുക്കുമോ; ( ബി ) മരുന്ന് ഗവേഷണത്തിന് പ്രത്യേക പദ്ധതി നടപ്പാക്കുമോ; എങ്കില്‍ വിശദാംശം നല്‍കുമോ; ( സി ) മരുന്നുകളുടെ ഗവേഷണം, ഉല്പാദനം, വിതരണം എന്നിവയ്ക്ക് കാര്യക്ഷമമായ സംവിധാനം ഏര്‍പ്പെടുത്തുമോ? തദ്ദേശ സ്വയംഭരണ സ്ഥാപനങ്ങളിലെ സാമ്പത്തിക ക്രമക്കേടുകൾ",,http://www.niyamasabha.org/codes/15kla/Session_3/ans/s00307-271021-03-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_3/qns/html/s_271021(301-330)%20.htm,,,,,
15-3-308,15,3,308,starred,2021-10-27,starred,തദ്ദേശ സ്വയംഭരണ സ്ഥാപനങ്ങളിലെ സാമ്പത്തിക ക്രമക്കേടുകൾ,"ശ്രീ. കെ. പി. എ. മജീദ് | ശ്രീ .പി. കെ. ബഷീർ ഡോ. എം.കെ.മുനീർ | ശ്രീ . മഞ്ഞളാംകുഴി അലി : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു തദ്ദേശ സ്വയംഭരണ, ഗ്രാമവികസനം, എക്സൈസ്‌ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സംസ്ഥാനത്തെ തദ്ദേശ സ്വയംഭരണ സ്ഥാപനങ്ങളിൽ പ്രത്യേകിച്ച് തിരുവനന്തപുരം നഗരസഭയിൽ തുടരെയുണ്ടാകുന്നതായി പറയപ്പെടുന്ന സാമ്പത്തിക ക്രമക്കേടുകൾ ശ്രദ്ധയിൽപ്പെട്ടിട്ടുണ്ടോ; ( ബി ) നടപടിക്രമങ്ങളിലെയും ആഡിറ്റിംഗ്, ട്രഷറി, ബാങ്ക് വെരിഫിക്കേഷൻ എന്നിവയിലെയും പാളിച്ചകളാണ് പ്രസ്തുത ക്രമക്കേടുകൾ നടത്താൻ അവസരമൊരുക്കുന്നത് എന്ന ആക്ഷേപം ശ്രദ്ധയില്‍പ്പെട്ടിട്ടുണ്ടോ; എങ്കില്‍ ഇത് പരിഹരിക്കാന്‍ നടപടികൾ സ്വീകരിച്ചിട്ടുണ്ടോ; വിശദമാക്കാമോ; ( സി ) ഇത്തരം ക്രമക്കേടുകൾ നടത്തുന്നവർക്ക് ചില സംഘടനകളുടെ സംരക്ഷണം ലഭിക്കുന്നതാണ് ഇവ ആവർത്തിക്കപ്പെടാന്‍ കാരണമാകുന്നതെന്ന ആരോപണം ശ്രദ്ധയിൽപ്പെട്ടിട്ടുണ്ടോ; എങ്കില്‍ ഇത് പരിഹരിക്കാന്‍ എന്തെല്ലാം നടപടികളാണ് സ്വീകരിക്കാൻ ഉദ്ദേശിക്കുന്നതെന്ന് വ്യക്തമാക്കുമോ? ലഹരി ഉപയോഗം തടയാന്‍ എക്സൈസിന് കൂടുതല്‍ അധികാരം",,http://www.niyamasabha.org/codes/15kla/Session_3/ans/s00308-271021-03-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_3/qns/html/s_271021(301-330)%20.htm,K P A Majeed,Indian Union Muslim League,Tirurangadi,ഇന്ത്യൻ യൂണിയൻ മുസ്ലീം ലീഗ്,തിരൂരങ്ങാടി
15-3-309,15,3,309,starred,2021-10-27,starred,ലഹരി ഉപയോഗം തടയാന്‍ എക്സൈസിന് കൂടുതല്‍ അധികാരം,"ശ്രീ എ കെ എം അഷ്റഫ് | ശ്രീ.ടി. വി. ഇബ്രാഹിം | ശ്രീ എൻ എ നെല്ലിക്കുന്ന് ശ്രീ. കുറുക്കോളി മൊയ്തീൻ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു തദ്ദേശ സ്വയംഭരണ, ഗ്രാമവികസനം, എക്സൈസ്‌ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സംസ്ഥാനത്ത് ലഹരിയുടെ ഉപയോഗവും വിപണനവും വര്‍ദ്ധിച്ച് വരുന്നതായി ശ്രദ്ധയില്‍പ്പെട്ടിട്ടുണ്ടോ; എങ്കില്‍ പ്രസ്തുത സാഹചര്യത്തില്‍ എക്സൈസിന് കൂടുതല്‍ അധികാരം നല്‍കണമെന്ന ആവശ്യം ഉയര്‍ന്നിട്ടുണ്ടോ; ( ബി ) ഇതിനായി നിലവിലെ നിയമങ്ങളില്‍ മാറ്റം വരുത്തണമെന്ന നിര്‍ദ്ദേശം ഉണ്ടായിട്ടുണ്ടോ; എങ്കില്‍ പ്രസ്തുത നിര്‍ദ്ദേശം പരിഗണിച്ചിരുന്നോ എന്ന് വ്യക്തമാക്കാമോ; ( സി ) എങ്കില്‍ ഇതുസംബന്ധിച്ച് എന്ത് നടപടിയാണ് സ്വീകരിക്കാന്‍ ഉദ്ദേശിക്കുന്നതെന്ന് വിശദമാക്കുമോ? ആഭ്യന്തര, വിദേശ വിമാന യാത്ര നിരക്കുകള്‍",,http://www.niyamasabha.org/codes/15kla/Session_3/ans/s00309-271021-03-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_3/qns/html/s_271021(301-330)%20.htm,A K M Ashraf,Indian Union Muslim League,Manjeshwar,ഇന്ത്യൻ യൂണിയൻ മുസ്ലീം ലീഗ്,മഞ്ചേശ്വരം
15-3-310,15,3,310,starred,2021-10-27,starred,"ആഭ്യന്തര, വിദേശ വിമാന യാത്ര നിരക്കുകള്‍","ശ്രീ തോമസ് കെ തോമസ് ശ്രീ. രാമചന്ദ്രൻ കടന്നപ്പള്ളി ശ്രീ. കെ.പി.മോഹനന്‍ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു മുഖ്യമന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) എയര്‍ലൈന്‍ കമ്പനികള്‍ ചില സമയങ്ങളില്‍ വിമാന ടിക്കറ്റ് നിരക്കുകള്‍ കുത്തനെ വര്‍ദ്ധിപ്പിച്ച് പ്രവാസി മലയാളികളെ ചൂഷണം ചെയ്യുന്നത് ശ്രദ്ധയില്‍പ്പെട്ടിട്ടുണ്ടോ; എങ്കില്‍ ആയത് തടയാന്‍ എന്തൊക്കെ നടപടികള്‍ സ്വീകരിക്കുമെന്ന് വ്യക്തമാക്കുമോ; ( ബി ) ആഭ്യന്തര, വിദേശ വിമാന യാത്ര നിരക്കുകള്‍ എകീകരിക്കുന്നതിനും നിയന്ത്രിക്കുന്നതിനും കേന്ദ്ര സര്‍ക്കാരില്‍ സമ്മര്‍ദം ചെലുത്താന്‍ നടപടികള്‍ സ്വീകരിക്കുമോ? കേന്ദ്ര സര്‍ക്കാരിന് സമര്‍പ്പിച്ച പദ്ധതികള്‍",,http://www.niyamasabha.org/codes/15kla/Session_3/ans/s00310-271021-03-15.pdf,http://www.niyamasabha.org/codes/15kla/Session_3/qns/html/s_271021(301-330)%20.htm,,,,,
